Id,Label,timeset,latitude,longitude,colabs_total,modularity_class
4575257,Hanyang University,,37.55747,127.04531,36744,2
103635307,"University of California, Riverside",,33.95335,-117.39616,36726,0
2802934949,Radboud University Nijmegen Medical Centre,,51.8425,5.85278,36714,1
116067653,University of Rome Tor Vergata,,41.85015,12.597991,36573,0
121797337,Leiden University,,52.15833,4.49306,36540,0
74775410,Rice University,,29.76328,-95.36327,36192,0
153648349,University of Leicester,,52.6386,-1.13169,35625,2
102335020,Karlsruhe Institute of Technology,,49.00937,8.40444,35486,0
190082696,Durham University,,54.76518,-1.578224,35376,2
2800006345,Leiden University Medical Center,,52.15833,4.49306,35332,1
98358874,Delft University of Technology,,52.00667,4.35556,35104,1
121934306,Tufts University,,42.41843,-71.10616,34593,0
139660479,Central South University,,28.19874,112.97087,34580,0
24185976,Sichuan University,,30.63016,104.09001,34503,2
103163165,Florida State University,,30.43826,-84.28073,34483,0
162608824,University of Sussex,,50.865276,-0.085556,34237,2
861853513,Sapienza University of Rome,,41.90384,12.514438,34049,1
76903346,University of Coimbra,,40.20564,-8.41955,33916,2
18014758,Simon Fraser University,,49.26636,-122.95263,33872,0
2799503643,Columbia University Irving Medical Center,,40.71427,-74.00597,33843,1
129774422,University of Vienna,,48.20849,16.37208,33840,0
22465464,University of Münster,,51.96236,7.62571,33719,2
107639228,University of Notre Dame,,41.70578,-86.23568,33510,0
193775966,Yonsei University,,37.566,126.9784,33472,2
100930933,University College Dublin,,53.33306,-6.24889,33408,0
21370196,Aristotle University of Thessaloniki,,40.64361,22.93086,33387,2
146416000,University of Kansas,,38.97167,-95.23525,33246,2
192619145,University of the Witwatersrand,,-26.20227,28.04363,33012,2
2613432,University of South Florida,,28.054562,-82.413055,32996,0
122140584,Universidade Federal do Rio de Janeiro,,-22.90642,-43.18223,32890,0
137902535,North Carolina State University,,35.7721,-78.63861,32579,0
200296433,Chinese Academy of Medical Sciences & Peking Union Medical College,,39.9075,116.39723,32533,2
125749732,Western University,,43.00984,-81.27376,32143,0
126744593,"University of Maryland, Baltimore",,39.29038,-76.61219,31957,0
37461747,Wuhan University,,30.58333,114.26667,31595,2
16733864,National Taiwan University,,25.016,121.536,31523,0
16097986,University of Valencia,,39.47391,-0.37966,31159,0
193531525,George Washington University,,38.89511,-77.03637,31013,2
3923682,Soochow University,,31.30919,120.641335,30974,2
173304897,University of Granada,,37.18817,-3.60667,30966,2
143302722,University of Kentucky,,37.98869,-84.47772,30812,2
9617848,Universitat Politècnica de Catalunya,,41.38879,2.15899,30646,0
82880672,Beihang University,,39.98,116.340836,30389,0
76835614,University of Missouri,,38.95171,-92.33407,30226,0
913958620,Erasmus University Rotterdam,,51.9225,4.47917,29950,1
80281795,University of Otago,,-45.87416,170.50362,29786,0
126596746,Jagiellonian University,,50.06143,19.93658,29686,0
99542240,Polish Academy of Sciences,,52.22977,21.01178,29600,1
165733156,University of Georgia,,33.96095,-83.37794,29456,2
205349734,Hokkaido University,,43.07818,141.33997,29428,2
129975664,Albert Einstein College of Medicine,,40.84985,-73.86641,29382,0
197347611,Korea University,,37.590477,127.02679,29361,2
52099693,University of York,,53.95763,-1.08271,29174,2
1321296531,National Institute of Standards and Technology,,39.14344,-77.20137,29071,2
4210097159,Assistance Publique – Hôpitaux de Paris,,48.85341,2.3488,28967,1
157674565,University of Liège,,50.63373,5.56749,28902,2
116953780,Tongji University,,31.22222,121.45806,28814,0
1850255,University of Basel,,47.55839,7.57327,28808,0
200763008,University of Giessen,,50.58051,8.677088,28529,2
65837984,Kobe University,,34.6913,135.183,28450,2
182534213,University of Porto,,41.14961,-8.61099,28433,2
151746483,University of Waterloo,,43.472534,-80.544876,28172,2
87445476,Xi'an Jiaotong University,,34.247223,108.979164,28053,0
174306211,Technion – Israel Institute of Technology,,32.81841,34.9885,28044,2
33849332,University of Malaya,,3.1412,101.68653,27906,2
32021983,Kiel University,,54.32133,10.13489,27866,2
62318514,University of Duisburg-Essen,,51.45657,7.01228,27646,2
921990950,University of Colorado Denver,,39.73915,-104.9847,27596,1
181391015,Universidade Estadual de Campinas (UNICAMP),,-22.90556,-47.06083,27569,2
140172145,University of Connecticut,,41.807167,-72.2525,27083,0
200769079,Hong Kong University of Science and Technology,,22.336182,114.26512,27030,2
129902397,Dalhousie University,,44.64269,-63.57688,26824,0
867280407,The University of Texas Southwestern Medical Center,,32.78306,-96.80667,26758,1
168719708,City University of Hong Kong,,22.336422,114.17299,26685,2
84392919,Temple University,,39.95238,-75.16362,26519,0
114395901,University of Nebraska–Lincoln,,40.824093,-96.700645,26454,0
153976015,University of Ljubljana,,46.05108,14.50513,26368,2
204308271,Medical College of Wisconsin,,43.04381,-88.02142,26222,2
44461941,University of Houston,,29.720201,-95.34225,26124,2
4210155236,National Research Council,,41.89193,12.51133,26116,1
32625721,University of Saskatchewan,,52.13238,-106.66892,26056,2
130442723,Universidade Federal do Rio Grande do Sul,,-30.03283,-51.23019,26052,0
183519381,Capital Medical University,,39.865433,116.35284,25809,2
194450716,Jilin University,,43.82497,125.28978,25687,2
4210119109,Indiana University Bloomington,,39.170864,-86.51937,25574,1
184565670,Georgetown University,,38.89511,-77.03637,25490,2
73613424,National Institute of Advanced Industrial Science and Technology,,36.06024,140.1331,25340,0
86501945,University of Delaware,,39.67911,-75.75217,25337,0
195460627,University of Aberdeen,,57.165062,-2.102298,25248,2
155781252,University of South Carolina,,34.00071,-81.03481,25247,2
196349391,University of Ulm,,48.39841,9.99155,25128,2
126231945,Queen's University Belfast,,54.584595,-5.93406,25047,0
150744194,Waseda University,,35.7092,139.71933,25045,2
26092322,Stellenbosch University,,-33.933163,18.862043,24958,2
184840846,Virginia Commonwealth University,,37.55376,-77.46026,24547,2
153297377,Medical University of South Carolina,,32.77657,-79.93092,24400,2
1313323035,Russian Academy of Sciences,,55.75222,37.61556,24371,2
69737025,University of Chile,,-33.44332,-70.65058,24223,2
90610280,South China University of Technology,,23.151306,113.34464,24049,1
131249849,Oregon State University,,44.56457,-123.26204,24017,0
121748325,Universidad Complutense de Madrid,,40.4165,-3.70256,23703,0
204778367,Norwegian University of Science and Technology,,63.43049,10.39506,23645,2
189590672,Kansas State University,,39.18361,-96.57167,23545,2
72816309,Drexel University,,39.95238,-75.16362,23450,2
72951846,Washington State University,,46.73127,-117.17962,23418,0
204722609,Queen's University,,44.225502,-76.49516,23336,2
94624287,University of Twente,,52.21833,6.89583,23206,1
76569877,Southeast University,,32.06167,118.77778,23122,0
192455969,York University,,43.77367,-79.50189,23074,2
4210117453,Dana-Farber Cancer Institute,,42.35843,-71.05977,23020,1
205274468,Trinity College Dublin,,53.33306,-6.24889,23005,2
88273585,Universidade Federal de São Paulo,,-23.5475,-46.63611,22782,1
161296585,Tokyo University of Science,,35.69966,139.74298,22738,2
155660961,University of Turku,,60.45148,22.26869,22575,2
4210089966,London School of Hygiene & Tropical Medicine,,51.5209,-0.1307,22468,1
197251160,Hebrew University of Jerusalem,,31.76904,35.21633,22347,2
4577782,Technische Universität Berlin,,52.52437,13.41053,22241,2
66862912,Chalmers University of Technology,,57.70716,11.96679,22029,0
205640436,Curtin University,,-31.95224,115.8614,22000,2
125839683,Beijing Institute of Technology,,39.95778,116.308334,21691,0
76198965,Friedrich Schiller University Jena,,50.92878,11.5899,21601,2
28022161,King Saud University,,24.68773,46.72185,21590,2
162868743,Tianjin University,,39.111362,117.17482,21503,1
93860229,Politecnico di Milano,,45.478863,9.228206,21479,1
149704539,Deakin University,,-37.84978,145.119,21339,2
124227911,Ben-Gurion University of the Negev,,31.262192,34.80151,21321,0
150229711,University of Electronic Science and Technology of China,,30.675713,104.10027,21290,0
114017466,University of Technology Sydney,,-33.883274,151.20045,21182,0
161103922,Philipps University of Marburg,,50.80904,8.77069,21151,2
113306721,Hiroshima University,,34.38222,132.45805,21034,0
79817857,University of Guelph,,43.533413,-80.22727,21024,0
174216632,City University of New York,,40.71427,-74.00597,20973,2
185163786,King Abdulaziz University,,21.493889,39.25028,20924,2
148366613,National Yang Ming Chiao Tung University,,24.80361,120.96861,20636,2
4210125099,Mayo Clinic in Arizona,,33.50921,-111.89903,20633,1
145847075,TU Wien,,48.20849,16.37208,20515,2
121820613,Louisiana State University,,30.44332,-91.18747,20337,0
9842412,Nanjing University of Aeronautics and Astronautics,,32.036007,118.813805,20210,0
142606810,Pacific Northwest National Laboratory,,46.28569,-119.28446,20117,0
4210140884,National Cancer Institute,,38.98067,-77.10026,19962,1
25254941,Beijing Normal University,,39.957222,116.3625,19952,2
204983213,Harbin Institute of Technology,,45.746998,126.63069,19946,2
2801851002,Harvard University Press,,42.383015,-71.12706,19747,1
4210126298,Duke Medical Center,,35.99403,-78.89862,19712,1
102134673,Linköping University,,58.41086,15.62157,19440,0
160993911,Queensland University of Technology,,-27.46794,153.02809,19276,2
191208505,Xiamen University,,24.47979,118.08187,19172,2
28290843,University of Surrey,,51.243057,-0.589444,19138,2
107672454,Dartmouth College,,43.70229,-72.28954,18941,0
83019370,Eindhoven University of Technology,,51.44083,5.47778,18902,0
2279609970,University of Lille,,50.63297,3.05858,18790,1
889458895,University of Hong Kong,,22.27832,114.17469,18567,1
203951103,Keio University,,35.6895,139.69171,18266,2
68956291,Martin Luther University Halle-Wittenberg,,51.48158,11.97947,18212,2
9224756,Northeastern University,,41.769695,123.421036,18153,0
31512782,Technical University of Darmstadt,,49.87167,8.65027,17903,2
1288214837,United States Naval Research Laboratory,,38.89511,-77.03637,17819,2
181647926,University of Strathclyde,,55.86515,-4.25763,17817,2
865915315,Vrije Universiteit Amsterdam,,52.37403,4.88969,17791,1
38877650,Zhengzhou University,,34.816025,113.53577,17693,2
27357992,Dalian University of Technology,,38.91222,121.60222,17672,2
69552723,University of Pretoria,,-25.74486,28.18783,17529,2
169108374,University of the Basque Country,,43.32686,-2.98884,17209,2
83519826,Nanjing Medical University,,32.06167,118.77778,17175,0
124357947,University of London,,51.50853,-0.12574,17082,0
79238269,Universidad de Sevilla,,37.38283,-5.97317,17045,0
110200422,Universidade Federal de Minas Gerais,,-19.871904,-43.966248,16850,0
158842170,Chongqing University,,29.56026,106.55771,16757,0
59270414,Indian Institute of Science Bangalore,,13.021275,77.565765,16682,2
4104125,Universidade Federal de Santa Catarina,,-27.59667,-48.54917,16373,2
919571938,The University of Texas Health Science Center at Houston,,29.76328,-95.36327,16142,1
881427289,University of Gothenburg,,57.70716,11.96679,15897,1
71052956,University of Reading,,51.44083,-0.942503,15870,2
13469542,Vrije Universiteit Brussel,,50.8232,4.392588,15581,0
204824540,University of Wollongong,,-34.405148,150.87839,15140,2
159385669,Chiba University,,35.62882,140.10349,15023,2
114832834,Tulane University,,29.939493,-90.12228,14945,0
113940042,Shanghai University,,31.22222,121.45806,14942,0
82497590,Auburn University,,32.603374,-85.48608,14604,0
166825849,Tampere University,,61.49911,23.78712,14595,2
36243813,Universidad Nacional de Colombia,,4.60971,-74.08175,14586,2
181343428,University of Zagreb,,45.81444,15.97798,14375,2
177477856,Polytechnic University of Turin,,45.07049,7.68682,14308,2
76214153,Lanzhou University,,36.05701,103.83987,13611,0
106165777,University of Central Florida,,28.6016,-81.2005,13370,0
145487455,Cairo University,,30.0276,31.21014,13257,0
887968799,RWTH Aachen University,,50.77664,6.08342,12695,1
52418104,Federal University of Paraná,,-25.42778,-49.27306,12148,2
255234318,Universidad de Zaragoza,,41.65606,-0.87734,12083,1
163770644,Okayama University,,34.65,133.93333,11993,2
16609230,Hunan University,,28.180279,112.95278,11930,0
157485424,Korea Advanced Institute of Science and Technology,,36.34913,127.38493,11812,2
149594827,Xidian University,,34.12192,108.841415,11769,0
859038795,Virginia Tech,,37.22957,-80.41394,11743,1
17145004,Northwestern Polytechnical University,,34.24364,108.91378,11639,0
205237279,Nankai University,,39.103928,117.17413,11576,2
92403157,University of Science and Technology Beijing,,39.9075,116.39723,11517,0
